price;area;bedrooms;bathrooms;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;furnishingstatus
Rp13.300.000;7420;4;2;yes;no;no;no;yes;2;furnished
Rp12.250.000;8960;4;4;yes;no;no;no;yes;3;furnished
Rp12.250.000;9960;3;2;yes;no;yes;no;no;2;semi-furnished
Rp12.215.000;7500;4;2;yes;no;yes;no;yes;3;furnished
Rp11.410.000;7420;4;1;yes;yes;yes;no;yes;2;furnished
Rp10.850.000;7500;3;3;yes;no;yes;no;yes;2;semi-furnished
Rp10.150.000;8580;4;3;yes;no;no;no;yes;2;semi-furnished
Rp10.150.000;16200;5;3;yes;no;no;no;no;0;unfurnished
Rp9.870.000;8100;4;1;yes;yes;yes;no;yes;2;furnished
Rp9.800.000;5750;3;2;yes;yes;no;no;yes;1;unfurnished
Rp9.800.000;13200;3;1;yes;no;yes;no;yes;2;furnished
Rp9.681.000;6000;4;3;yes;yes;yes;yes;no;2;semi-furnished
Rp9.310.000;6550;4;2;yes;no;no;no;yes;1;semi-furnished
Rp9.240.000;3500;4;2;yes;no;no;yes;no;2;furnished
Rp9.240.000;7800;3;2;yes;no;no;no;no;0;semi-furnished
Rp9.100.000;6000;4;1;yes;no;yes;no;no;2;semi-furnished
Rp9.100.000;6600;4;2;yes;yes;yes;no;yes;1;unfurnished
Rp8.960.000;8500;3;2;yes;no;no;no;yes;2;furnished
Rp8.890.000;4600;3;2;yes;yes;no;no;yes;2;furnished
Rp8.855.000;6420;3;2;yes;no;no;no;yes;1;semi-furnished
Rp8.750.000;4320;3;1;yes;no;yes;yes;no;2;semi-furnished
Rp8.680.000;7155;3;2;yes;yes;yes;no;yes;2;unfurnished
Rp8.645.000;8050;3;1;yes;yes;yes;no;yes;1;furnished
Rp8.645.000;4560;3;2;yes;yes;yes;no;yes;1;furnished
Rp8.575.000;8800;3;2;yes;no;no;no;yes;2;furnished
Rp8.540.000;6540;4;2;yes;yes;yes;no;yes;2;furnished
Rp8.463.000;6000;3;2;yes;yes;yes;no;yes;0;semi-furnished
